trial,severity,mse,active_ingredient,year,spray,location,state
116,6.5,1.52843,tebu,2009,2,PONTA PORÃ,MS
206,6.5,0.93333,trif_prot,2012,2,PLANALTINA,DF
153,6.5,11.25348,pyra_metc,2010,3,PASSO FUNDO,RS
219,6.6,10.11219,pico_cypr,2013,3,LONDRINA,PR
167,6.6,7.9794,tebu,2010,2,CAPÃO DO LEÃO,RS
145,6.7,25.53655,pyra_epox,2010,2,CHAPADÃO DO SUL,MS
144,6.7,43.60284,pyra_epox,2010,2,MAFRA,SC
231,6.8,0.73264,cypr,2013,2,ENTRE RIOS,PR
137,6.8,16.9716,pyra_metc,2009,2,JATAÍ,GO
93,6.8,7.72906,tebu,2009,3,CHAPADÃO DO SUL,MS
131,6.9,11.28952,trif_prot,2009,3,LONDRINA,PR
148,6.9,4.23162,pico_cypr,2010,2,DOURADOS,MS
17,6.9,15.08667,azox_cypr,2005,2,RIO VERDE,GO
139,6.9,16.4881,pyra_metc,2009,2,PAULÍNIA,SP
58,6.9,6.75534,azox_cypr,2007,2,TAMARANA,PR
228,7,1.78622,pico_cypr,2013,3,PLANALTINA,DF
58,7,6.75534,pyra_epox,2007,2,TAMARANA,PR
71,7,44.67594,azox_cypr,2007,2,CHAPADÃO DO SUL,MS
169,7,2.76496,pyra_metc,2010,2,CRUZ ALTA,RS
186,7,31.15238,cypr,2011,2,CAMAQUÃ,RS
249,7,1.22953,trif_prot,2014,2,BRASÍLIA,DF
212,7.1,0.11,check,2013,3,SANTO ANTONIO DE GOIAS,GO
224,7.1,40.83477,pyra_epox,2013,2,JATAÍ,GO
115,7.1,1.40317,azox_cypr,2009,3,TANGARÁ DA SERRA,MT
169,7.3,2.76496,pyra_epox,2010,2,CRUZ ALTA,RS
178,7.3,1.06754,trif_prot,2011,2,DECIOLÂNDIA,MT
189,7.3,2.98095,cypr,2011,2,PASSO FUNDO,RS
224,7.3,40.83477,azox,2013,2,JATAÍ,GO
229,7.3,4.42391,pico_cypr,2013,2,PASSO FUNDO,RS
57,7.3,10.24555,tebu,2007,2,PATO BRANCO,PR
154,7.3,9.61924,pico_cypr,2010,2,SENADOR CANEDO,GO
233,7.3,13.58053,pyra_metc,2014,3,CHAPADÃO DO SUL,MS
29,7.4,15.58143,tebu,2006,2,GOIÂNIA,GO
155,7.5,20.42122,azox_cypr,2010,2,LONDRINA,PR
167,7.5,7.9794,check,2010,2,CAPÃO DO LEÃO,RS
187,7.5,2.65794,azox_cypr,2011,2,CRUZ ALTA,RS
202,7.5,9.90909,azox_cypr,2012,2,MAFRA,SC
148,7.7,4.23162,tebu,2010,2,DOURADOS,MS
10,7.7,8.57645,azox_cypr,2005,2,RIACHÃO,MA
89,7.7,0.25974,tebu,2009,3,TANGARÁ DA SERRA,MT
213,7.7,3.66927,trif_prot,2013,2,SANTO ANTONIO DE GOIAS,GO
105,7.8,0.1537,check,2009,2,RONDONÓPOLIS,MT
219,7.8,10.11219,azox,2013,3,LONDRINA,PR
6,7.8,37.79475,tebu,2005,2,GOIÂNIA,GO
155,7.8,20.42122,pyra_metc,2010,2,LONDRINA,PR
173,7.8,3.75288,trif_prot,2011,2,RIO VERDE,GO
8,7.8,0.3448,check,2005,2,GUARAPUAVA,PR
153,7.9,11.25348,pyra_epox,2010,3,PASSO FUNDO,RS
191,7.9,55.33878,pyra_metc,2011,2,LONDRINA,PR
223,7.9,71.92403,azox_cypr,2013,2,LONDRINA,PR
154,7.9,9.61924,pyra_epox,2010,2,SENADOR CANEDO,GO
